spent_usd,n_impressions,n_clicks
1.59,29945,1
52.97,357856,30
360.15,2080666,202
16.52,145999,9
1.54,32616,1
163.9,984521,95
210.36,880814,123
35.73,182452,20
215.84,894911,120
3.8,31349,2
96.8,410310,55
157.33,572450,89
26.57,98759,15
93.09,345371,54
78.92,323899,46
103.15,399199,58
36.53,171202,22
28.85,128386,15
257.71,1034284,152
7.22,45923,5
7.9,40873,4
62.06,286553,34
2.1,20618,1
14.14,83591,7
23.73,114923,12
1.71,25002,1
9.44,68905,5
27.8,169588,16
67.65,328991,35
2.98,23198,2
3.24,26890,2
52.26,221695,31
13.04,88443,7
38.39,187856,23
138.77,570699,80
260.38,1063508,145
8.55,50523,6
15.63,87935,9
60.2,278225,33
34.19,209461,20
3.24,26316,2
5.14,41030,3
216.56,876671,120
93.07,399392,53
56.06,283858,30
54.1,260699,31
7.8,57781,5
5.22,38757,3
358.55,1392288,206
280.99,1109387,159
115.12,581281,65
219.77,1048861,128
52.02,297452,30
35.31,227925,22
63.32,374175,38
54.24,223586,32
65.23,283170,39
4.21,41636,3
48.61,198658,30
13.92,100596,10
11.06,64020,5
87.42,404866,43
1.66,22256,1
6.74,57690,4
8.22,24952,5
5.58,38900,3
9.23,53520,6
34.23,181683,20
3.15,29185,2
20.21,105047,13
59.44,287976,31
38.59,212175,22
21.85,124005,11
1.96,20423,1
22.32,103001,14
110.24,447420,66
29.75,156101,19
18.47,93015,12
36.24,145398,23
76.44,296413,50
11.8,63785,7
26.82,118522,14
65.67,240123,38
32.24,169108,20
245.6,1044442,142
17.64,93891,11
38.55,185823,25
40.76,175631,23
6.37,37187,4
89.76,344618,51
16.15,98066,9
189.13,770749,100
8.53,52553,5
67.77,362296,39
96.9,427729,50
37.13,180351,21
53.16,187329,29
192.93,782894,118
236.12,1206533,128
12.57,84494,7
12.58,94257,7
28.05,131060,16
83.48,341603,50
30.48,140749,19
20.3,102525,13
131.58,447952,68
14.63,76355,9
64.47,256598,38
30.15,127476,21
62.25,237603,37
78.04,271091,42
3.4,21743,2
14.83,88970,10
22.43,108362,13
44.14,188596,27
69.66,275080,43
16.27,64647,10
5.79,31265,4
42.08,140147,24
67.67,223120,40
34.07,104869,18
41.72,165177,23
19.57,84194,11
57.37,220581,31
17.37,75804,10
100.29,368986,59
3.71,28194,3
23.21,99961,14
177.89,685781,103
66.77,274222,43
32.68,110503,25
420.58,1447755,233
87.55,358987,52
232.37,826205,125
150.14,550954,84
96.48,378350,55
95.51,492784,56
72.31,327158,43
9.21,59390,5
254.25,1040330,147
11.17,49422,6
34.23,131091,18
25.26,95691,15
1.29,15513,1
113.99,382537,63
121.1,461356,64
98.7,392541,53
8.8,35088,5
9.93,53933,6
53.39,228861,33
3.77,20959,2
3.19,24992,2
24.18,100351,15
76.9,292448,43
14.52,65060,7
36.17,133316,21
38.44,113501,26
61.93,192810,41
70.41,233404,43
37.6,128843,24
20.59,63564,12
24.78,85970,14
29.54,131232,16
37.85,152454,22
2.29,28989,2
24.19,80248,15
8.52,38580,5
163.36,621591,91
58.14,250499,36
29.31,131637,18
116.34,463813,69
60.9,211767,35
40.02,163181,26
260.07,1117385,147
359.47,1663441,205
105.71,455248,54
10.66,75589,6
143.3,594267,82
65.03,315281,35
117.56,363456,71
143.43,438983,81
9.66,42563,5
124.8,399035,75
98.55,304680,59
40.77,140596,23
134.88,439986,80
19.36,75803,11
43.01,153586,28
42.63,180815,31
75.79,253169,51
7.71,34453,5
14.04,51550,8
39.86,110018,24
36.78,137584,21
54.87,209825,30
87.79,264222,63
6.73,31202,5
76.84,252991,49
15.54,56265,9
17.67,76923,11
49.6,209332,30
53.27,214094,31
126.93,526209,85
179.62,741143,120
38.42,172827,25
58.6,188873,38
39.73,123126,25
19.11,77794,14
15.81,56630,9
140.97,400844,85
60.76,208572,36
13.51,59004,8
55.1,196253,32
12.63,51858,8
81.36,280764,49
16.47,63660,11
31.03,109289,19
60.73,188440,40
74.83,212496,44
7.48,32574,5
36.48,128595,23
68.06,242234,48
7.88,33154,5
1.46,9773,1
123.55,464036,77
135.75,478480,75
116.88,428812,66
365.66,1177535,221
128.28,426500,72
10.78,54237,7
133.7,506916,89
64.88,250960,42
603.38,2286228,353
220.56,915451,125
33.9,159478,20
318.97,1228924,190
248.64,938283,134
40.93,154572,26
109.25,378171,70
134.12,468749,84
103.39,309823,60
116.56,327227,65
120.3,334945,72
25.46,68859,15
35.68,127125,20
131.78,415798,80
29.91,107671,20
46.79,164356,28
3.19,17662,2
16.68,65339,10
11.11,59838,7
127.57,381577,81
11.01,45491,8
3.6,18946,2
33.66,114370,18
33.35,99698,21
128.61,355165,81
33.93,101431,23
36.44,123151,24
5.77,24078,4
181.72,517801,105
41.42,145104,25
58.68,179950,35
80.34,258531,46
104.46,272500,62
87.73,273197,57
253.99,775904,172
39.44,120251,26
39.05,139406,24
16.94,60314,11
142.71,563074,86
27.3,168655,18
29.38,111963,17
277.58,1026304,168
422.84,1391924,258
38.5,147551,22
17.33,66794,9
32.31,118882,19
41.97,148010,24
352.45,932890,197
264.59,718359,147
158.6,433658,82
4.77,29455,3
4.82,23973,3
37.26,126480,25
39.52,138959,28
19.48,68829,12
16.38,49916,10
22.67,76014,16
15.99,50947,10
17.05,55536,11
64.41,318042,46
44.22,213016,30
38.18,182265,27
268.05,1117371,177
77.59,333345,52
46.78,275930,30
153.12,740631,101
55.99,328272,35
31.54,178455,20
147.34,705712,98
159.57,690373,91
117.63,515812,69
171.98,764793,101
18.1,87832,11
4.3,23368,3
11.57,51509,7
24.48,87043,16
169.67,565565,113
62.14,253758,43
76.68,319131,51
195.15,670608,130
38.36,159123,25
24.57,103709,15
74.41,271589,45
33.47,119772,20
4.22,26340,3
147.67,594968,111
62.14,185665,39
4.56,24959,3
35.06,136967,23
29.31,107548,19
169.92,588617,119
41.63,190560,26
75.7,373110,49
256.47,935646,170
612.3,2223278,421
51.84,240497,36
54.79,259984,37
179.05,606786,127
17.74,83270,13
375.72,1189509,268
1.57,11471,1
429.48,1705246,295
95.85,418016,63
3.82,30155,3
226.54,990404,153
50.72,187468,34
54.57,208301,33
25.22,101856,16
9.97,48935,7
1.73,13911,1
123.09,511726,77
37.83,177452,24
33.04,149808,20
105.02,390339,60
5.93,39339,4
3.75,24893,2
343.26,1296189,212
19.19,91607,12
61.03,238036,38
56.17,254344,35
39.23,157705,23
99.18,411571,60
16.18,94136,11
23.97,82640,16
2.62,17870,2
2.78,19178,2
42.37,145548,28
22.05,82455,15
10.32,44189,7
9.81,45199,7
63.45,221843,43
10.55,41672,6
38.94,127546,25
38.03,127865,28
314.3,1025327,229
173.76,561415,124
37.32,132803,25
2.63,24664,2
263.81,1020561,172
177.11,682143,114
343.42,1247717,222
33.23,146406,23
234.66,905699,161
297.83,1184580,194
31.01,98057,20
84.66,238735,56
115.88,320657,77
84.51,244074,57
13.06,39146,8
23.65,78468,15
89.35,325653,63
17.3,66277,12
23.34,93002,16
40.96,109723,27
50.11,118941,35
66.79,221576,47
1.64,8341,1
36.23,120335,26
62.87,182098,40
71.58,227473,52
350.51,1050947,230
213.69,720859,162
10.96,41111,8
37.4,148616,25
210.82,707260,135
42.41,139596,26
33.2,105399,22
72.91,222378,50
293.88,975792,210
167.05,579150,125
123.8,449588,81
85.7,318157,56
65.18,196967,43
46.43,158298,37
68.56,222739,55
8.19,20780,5
48.55,128616,33
82.28,258954,61
71.53,205289,48
191.42,611601,138
321.87,947657,233
65.03,233043,49
194.81,582725,142
78.46,265038,51
53.63,222273,39
243.77,797234,170
262.89,925555,182
4.05,22210,3
16.41,46391,11
66.39,190477,42
9.61,25382,7
22.12,65726,17
78.06,195220,51
40.88,107501,27
88.21,197772,63
48.94,138154,35
95.85,270124,69
106.93,303971,77
254.42,682046,183
117.34,328365,83
390.26,1083259,276
340.41,913929,245
33.47,101586,24
66.28,181053,46
48.18,133419,35
156.12,489573,113
288.33,822023,194
40.37,93176,29
19.28,47229,13
34.03,92263,24
29.67,81551,21
47.79,141037,32
111.65,319501,79
24.33,72741,19
188.51,597419,135
33.14,98768,21
59.85,173165,41
21.11,55823,13
38.35,118451,28
30.84,74424,22
14.59,47929,12
15.92,40801,12
24.22,66017,17
238.4,725043,179
132.73,382776,97
201.6,548250,137
465.08,1358324,346
234.94,662249,163
195.08,559554,139
104.69,320757,68
295.55,906151,202
226.03,699314,164
287.69,850337,198
315.9,1015460,247
332.99,890295,227
282.49,791817,194
115.66,317601,76
247.32,685211,164
11.2,32781,7
25.46,76785,19
299.53,719083,206
140.42,368480,107
100.88,260945,73
13.35,40998,10
73.75,183293,53
76.76,221561,55
145.82,436943,109
125.27,284488,90
38.63,85083,32
7.14,14167,5
116.99,300637,84
175.97,449921,129
105.66,282899,71
259.18,669671,186
46.92,108655,28
187.74,536248,146
380.66,1055017,265
541.7,1428421,367
409.56,1088027,272
102.39,288517,78
67.13,202231,53
22.86,73222,16
134.89,348542,96
369.07,1097966,266
198.09,526923,138
91,264386,66
297.91,854940,227
50.29,113567,34
9.42,22859,6
20.52,51754,13
38.14,104347,28
142.05,391998,97
402.3,1111156,282
159.3,427772,117
193.66,536457,136
66.84,179894,43
178.67,479882,131
130.36,358261,91
114.86,346688,88
3.2,33445,2
7.53,72228,5
2.69,49699,2
27.33,189761,18
53.79,312524,37
61.01,496760,42
46.67,310988,34
12.11,98606,9
3.2,51104,2
32.09,276762,22
2.96,33534,2
23.7,128859,16
16.94,92080,12
46.65,211882,33
12.68,112776,9
19.82,145324,14
21.26,106492,14
40.73,233845,30
25.01,155426,17
11.52,97540,8
7.7,61441,5
12.15,76703,9
14.96,68619,10
1.49,17559,1
28.47,137879,19
15.15,67710,10
60.23,348180,41
28.72,146246,18
34.87,187236,24
13.5,72157,9
13.56,91180,10
9.26,86293,6
17.94,101410,12
25.75,134245,18
30.08,125650,20
7.26,50406,5
18.42,121769,13
50.5,267106,34
82.14,365539,57
36.6,188758,25
19.58,108426,13
13.65,138525,9
30.26,150858,21
113.68,524306,81
11.43,104496,9
99.52,452519,68
110.78,442919,76
120.88,596831,86
35.54,173912,26
119.64,780967,86
11.19,132124,8
138.92,623137,100
14.48,99020,10
163.8,665817,117
111.99,699232,80
15.05,72982,11
237.32,975884,167
47.88,245607,33
164.64,485369,114
200.83,866355,139
105.22,502710,72
127.32,475184,88
68.67,357401,47
20.05,99810,14
9.41,81569,6
77.6,441192,53
16.73,90470,11
246.75,834243,166
223.19,696612,152
67.61,329333,48
319,1114711,224
82.93,267316,58
57,228629,38
233.11,758340,159
217.78,877535,149
323.06,1357386,223
87.99,280240,61
105.45,419922,75
120.9,402975,83
301.05,1137635,211
62.32,250234,40
279.22,904907,195
158.05,589270,107
36.01,168714,24
16.34,71982,11
162.64,558666,110
333.75,1118200,235
33.71,107100,23
232.59,877769,160
47.69,212508,33
358.19,1129773,252
173.88,637549,120
40.29,151531,28
198.71,790253,135
165.61,513161,114
